Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
20.2,27.9,L,,,,,,29.5,153.5,M,,,,,,62.8,272,NC,,,,
20.2,110.1,L,,,,,,29.5,190.7,L,,,,,,62.8,296.8,L,,,,
20.2,186.8,L,,,,,,29.5,251.9,L,,,,,,63.6,313.1,M,,,,
20.2,229.4,L,,,,,,29.5,370.5,M,,,,,,63.6,337.9,M,,,,
20.9,20.9,L,,,,,,30.2,75.2,S,,,,,,65.1,29.5,L,,,,
20.9,82.2,L,,,,,,30.2,89.1,M,,,,,,65.1,232.5,NC,,,,
20.9,91.5,L,,,,,,30.2,183.7,L,,,,,,65.9,196.9,L,,,,
20.9,101.5,S,,,,,,30.2,218.6,L,,,,,,66.7,167.4,S,,,,
20.9,198.4,L,,,,,,30.2,279,L,,,,,,66.8,243.2,L,,,,
20.9,203.1,S,,,,,,30.2,318.5,L,,,,,,67.4,15.5,L,,,,
20.9,236.4,L,,,,,,30.2,329.4,L,,,,,,67.4,88.4,L,,,,
21.7,52.7,L,,,,,,30.2,355,S,,,,,,67.4,122.1,NC,,,,
21.7,129.4,L,,,,,,31,128.7,M,,,,,,67.4,145.7,M,,,,
21.7,145.7,L,,,,,,31,287.5,M,,,,,,67.4,265.1,L,,,,
21.7,158.1,L,,,,,,31.8,144.2,L,,,,,,67.8,61.5,S,,,,
21.7,193,L,,,,,,31.8,199.2,M,,,,,,68.2,40.3,L,,,,
21.7,241,L,,,,,,31.8,307.7,L,,,,,,68.2,175.2,M,,,,
22.5,78.3,M,,,,,,31.8,344.9,L,,,,,,69,102.3,L,,,,
22.5,96.9,M,,,,,,31.8,385.2,L,,,,,,69,135.9,L,,,,
22.5,150.4,L,,,,,,32.6,11.6,L,,,,,,69,213.9,M,,,,
22.5,164.3,M,,,,,,32.6,120.9,M,,,,,,69.8,181.4,L,,,,
22.5,214.7,L,,,,,,32.6,209.3,L,,,,,,69.8,276.7,L,,,,
23.3,37.2,L,,,,,,32.6,263.5,M,,,,,,69.8,318.5,NC,,,,
23.3,41.9,L,,,,,,32.6,296.8,M,,,,,,70.5,4.7,L,,,,
23.3,47.3,L,,,,,,32.6,363.5,L,,,,,,71.3,116.3,L,,,,
23.3,58.1,M,,,,,,33.3,162,S,,,,,,71.3,253.4,M,,,,
23.3,114.7,M,,,,,,34.1,114.7,L,,,,,,71.3,304.6,M,,,,
23.3,134.1,L,,,,,,34.1,177.5,L,,,,,,71.8,50.2,NC,,,,
23.3,170.5,L,,,,,,34.1,228.6,S,,,,,,72.1,155.8,L,,,,
24,5.4,S,,,,,,34.1,268.9,S,,,,,,72.1,290.6,L,,,,
24,31.8,L,,,,,,34.1,335.6,L,,,,,,72.9,23.3,L,,,,
24,63.6,S,,,,,,34.9,65.1,L,,,,,,72.9,332.5,M,,,,
24,69,L,,,,,,34.9,81.4,M,,,,,,73.3,67.9,L,,,,
24,124.8,L,,,,,,34.9,95.3,L,,,,,,73.6,221.7,M,,,,
24,180.6,L,,,,,,34.9,247.2,L,,,,,,74.5,132.6,NC,,,,
24.3,141.1,L,,,,,,35.7,26.4,L,,,,,,75.2,169.7,L,,,,
24.8,18.6,L,,,,,,35.7,49.6,L,,,,,,75.2,190.7,L,,,,
24.8,23.3,M,,,,,,35.7,58.9,L,,,,,,75.2,231.7,M,,,,
24.8,73.6,L,,,,,,35.7,104.6,S,,,,,,76,33.3,M,,,,
24.8,91.5,L,,,,,,35.7,169,L,,,,,,76,205.4,S,,,,
24.8,100.8,M,,,,,,35.7,188.3,L,,,,,,76,268.2,S,,,,
24.8,119.4,L,,,,,,36.4,135.6,M,,,,,,76.7,310,NC,,,,
24.8,145.7,L,,,,,,36.4,350.3,L,,,,,,77.5,58.1,M,,,,
24.8,175.9,L,,,,,,36.4,377.5,L,,,,,,77.5,144.9,L,,,,
24.8,189.1,L,,,,,,37.2,4.7,L,,,,,,78.3,6.2,L,,,,
24.8,220.1,M,,,,,,37.2,43.4,L,,,,,,78.3,103.1,M,,,,
24.8,226.3,L,,,,,,37.2,73.6,L,,,,,,78.3,254.2,L,,,,
24.8,232.5,M,,,,,,37.2,145.7,L,,,,,,78.3,282.9,L,,,,
25.6,106.2,M,,,,,,37.2,155.8,L,,,,,,79.1,87.6,M,,,,
25.6,110.8,M,,,,,,37.2,203.1,L,,,,,,79.1,115.5,S,,,,
25.6,155,S,,,,,,37.2,283.7,M,,,,,,79.1,127.1,L,,,,
25.6,196.9,L,,,,,,37.2,323.2,M,,,,,,79.1,180.6,M,,,,
25.6,203.1,L,,,,,,38,19.4,L,,,,,,79.1,241.8,L,,,,
25.6,208.5,L,,,,,,38,125.6,L,,,,,,80.5,199,L,,,,
25.6,237.9,L,,,,,,38,217,L,,,,,,80.6,344.9,L,,,,
26.4,166.6,M,,,,,,38,254.2,M,,,,,,81.4,23.3,M,,,,
26.9,39.9,L,,,,,,38,274.4,L,,,,,,81.7,74.8,L,,,,
27.1,9.3,L,,,,,,38,311.6,L,,,,,,82.2,271.3,L,,,,
27.1,34.1,L,,,,,,38,368.2,S,,,,,,82.2,318.5,L,,,,
27.1,79.1,L,,,,,,38.8,86,L,,,,,,82.4,43.3,L,,,,
27.1,83.7,L,,,,,,38.8,211.6,M,,,,,,82.9,213.1,M,,,,
27.1,160.4,M,,,,,,38.8,236.4,L,,,,,,82.9,330.2,L,,,,
27.1,214.7,S,,,,,,38.8,289.9,L,,,,,,83.7,11.6,M,,,,
27.7,50.7,L,,,,,,38.8,303.8,L,,,,,,83.7,151.1,L,,,,
27.9,27.9,L,,,,,,38.8,330.9,L,,,,,,83.7,227.1,L,,,,
27.9,44.2,M,,,,,,38.8,386.8,L,,,,,,83.7,296.8,L,,,,
27.9,96.1,L,,,,,,39.5,358.9,L,,,,,,84.5,161.2,L,,,,
27.9,116.3,L,,,,,,40.3,12.4,L,,,,,,84.9,135.2,NC,,,,
27.9,127.9,S,,,,,,40.3,119.4,M,,,,,,85.3,107,L,,,,
27.9,172.1,L,,,,,,40.3,164.3,L,,,,,,86,55,M,,,,
27.9,243.4,L,,,,,,40.3,193,L,,,,,,86.8,305.4,M,,,,
28.7,5.4,M,,,,,,41.1,32.6,S,,,,,,87.8,242.1,L,,,,
28.7,55.8,M,,,,,,41.1,50.4,M,,,,,,88.4,82.2,L,,,,
28.7,60.5,L,,,,,,41.1,93,L,,,,,,88.4,117,NC,,,,
28.7,66.7,M,,,,,,41.1,100.8,L,,,,,,88.4,256.5,M,,,,
28.7,121.7,M,,,,,,41.1,110.1,L,,,,,,88.5,40,NC,,,,
28.7,134.9,L,,,,,,41.1,179,S,,,,,,89.1,64.3,L,,,,
28.7,142.6,L,,,,,,41.9,65.1,L,,,,,,89.1,93.8,L,,,,
28.7,149.6,M,,,,,,41.9,79.8,M,,,,,,89.1,184.5,L,,,,
28.7,199.2,M,,,,,,41.9,169.7,L,,,,,,89.1,282.9,L,,,,
28.7,226.3,L,,,,,,41.9,226.3,L,,,,,,89.9,48.1,S,,,,
29.5,14.7,M,,,,,,41.9,262.7,M,,,,,,89.9,205.4,M,,,,
29.5,21.7,L,,,,,,42.6,131,L,,,,,,89.9,340.2,L,,,,
29.5,72.1,L,,,,,,42.6,244.9,L,,,,,,90.7,172,L,,,,
29.5,101.5,L,,,,,,42.6,282.1,L,,,,,,90.7,196.1,L,,,,
30.2,107,L,,,,,,43.4,25.6,L,,,,,,90.7,266.6,L,,,,
30.2,162.8,L,,,,,,43.4,58.9,M,,,,,,91.5,24,L,,,,
30.2,176.7,L,,,,,,43.4,369.7,M,,,,,,91.5,224,M,,,,
30.2,182.1,L,,,,,,44.2,3.9,L,,,,,,91.8,324,L,,,,
30.2,192.2,S,,,,,,44.2,20.2,L,,,,,,92.2,8.5,L,,,,
30.2,210,M,,,,,,44.2,39.5,L,,,,,,93,310.8,S,,,,
30.2,231.7,L,,,,,,44.2,138.7,M,,,,,,93.8,155.8,L,,,,
30.2,237.2,S,,,,,,44.2,153.5,L,,,,,,93.8,234.1,L,,,,
31,31,M,,,,,,44.2,186.8,L,,,,,,94.6,126.3,L,,,,
31,41.9,L,,,,,,44.2,199.2,L,,,,,,94.6,295.3,L,,,,
31,76,L,,,,,,44.2,296.8,S,,,,,,95.3,105.4,S,,,,
31,87.6,L,,,,,,44.2,351.9,L,,,,,,95.3,119.4,M,,,,
31,92.2,M,,,,,,45,73.6,L,,,,,,96.1,140.3,L,,,,
31,155,L,,,,,,45,86.8,L,,,,,,96.9,68.2,L,,,,
31,219.3,M,,,,,,45,144.9,S,,,,,,96.9,93.8,L,,,,
31.8,10.9,L,,,,,,45,320.1,L,,,,,,96.9,165.1,NC,,,,
31.8,37.2,L,,,,,,45,337.1,M,,,,,,96.9,175.9,L,,,,
31.8,52.7,M,,,,,,45.7,217.8,M,,,,,,96.9,212.4,L,,,,
31.8,111.6,L,,,,,,45.7,234.1,L,,,,,,96.9,252.7,L,,,,
31.8,120.9,L,,,,,,45.7,272.8,L,,,,,,97.7,39.5,L,,,,
31.8,125.6,L,,,,,,45.7,312.3,L,,,,,,97.7,55,L,,,,
31.8,130.2,L,,,,,,45.7,362,M,,,,,,97.7,203.1,M,,,,
31.8,187.6,M,,,,,,46.5,10.1,L,,,,,,98.4,266.6,S,,,,
32.6,25.6,M,,,,,,46.5,80.6,L,,,,,,98.4,279.8,L,,,,
32.6,47.3,S,,,,,,46.5,96.9,L,,,,,,99.2,10.9,L,,,,
32.6,62.8,L,,,,,,46.5,107,L,,,,,,99.2,22.5,L,,,,
32.6,67.4,L,,,,,,46.5,115.5,M,,,,,,100,113.2,M,,,,
32.6,81.4,L,,,,,,46.5,252.7,L,,,,,,100.9,187.8,L,,,,
32.6,203.8,L,,,,,,47.3,34.1,L,,,,,,101.5,289.9,M,,,,
32.6,245.7,L,,,,,,47.3,46.5,M,,,,,,101.5,315.4,M,,,,
33.3,4.7,M,,,,,,47.3,161.2,M,,,,,,102.3,302.3,L,,,,
33.3,18.6,L,,,,,,47.3,207.7,L,,,,,,102.3,331.7,L,,,,
33.3,96.9,L,,,,,,47.3,329.4,L,,,,,,103.1,78.3,L,,,,
33.3,215.5,L,,,,,,48.1,64.3,L,,,,,,103.1,151.1,M,,,,
33.9,57.7,L,,,,,,48.1,289.1,L,,,,,,103.1,240.3,M,,,,
34.1,71.3,S,,,,,,48.1,387.5,L,,,,,,103.5,34.5,NC,,,,
34.1,103.9,M,,,,,,48.6,278.1,M,,,,,,103.9,126.3,M,,,,
34.1,116.3,L,,,,,,48.8,121.7,L,,,,,,103.9,138,L,,,,
34.1,134.1,L,,,,,,48.8,131.8,L,,,,,,103.9,222.4,L,,,,
34.1,151.1,L,,,,,,48.8,169.7,L,,,,,,104.6,63.6,L,,,,
34.1,158.9,L,,,,,,48.8,178.3,M,,,,,,105.2,338.8,NC,,,,
34.1,168.2,M,,,,,,48.8,305.4,L,,,,,,105.4,171.3,L,,,,
34.1,173.6,L,,,,,,48.8,374.4,L,,,,,,105.4,207.7,L,,,,
34.1,182.1,L,,,,,,49.6,52.7,S,,,,,,105.4,250.3,L,,,,
34.1,198.4,L,,,,,,49.6,228.6,L,,,,,,106.7,47.7,L,,,,
34.1,227.1,L,,,,,,49.6,263.5,M,,,,,,107,100.8,M,,,,
34.9,14,L,,,,,,49.6,348,M,,,,,,107,159.7,L,,,,
34.9,91.5,S,,,,,,50.4,193.8,M,,,,,,107,275.9,L,,,,
34.9,108.5,M,,,,,,51.2,15.5,M,,,,,,107.7,9.3,L,,,,
34.9,145.7,S,,,,,,51.2,26.4,L,,,,,,107.7,19.4,S,,,,
34.9,191.4,L,,,,,,51.2,58.9,M,,,,,,107.7,85.3,L,,,,
34.9,220.9,L,,,,,,51.2,70.5,L,,,,,,108.5,110.8,M,,,,
34.9,240.3,L,,,,,,51.2,296.1,L,,,,,,108.5,182.1,L,,,,
35.7,84.5,M,,,,,,51.2,319.3,M,,,,,,108.5,261.2,L,,,,
35.7,128.7,L,,,,,,51.9,89.1,L,,,,,,109.3,306.9,L,,,,
35.7,207.7,L,,,,,,51.9,185.2,L,,,,,,110.8,72.9,L,,,,
35.7,234.1,L,,,,,,51.9,218.6,L,,,,,,110.8,195.3,L,,,,
36.4,2.3,M,,,,,,51.9,255.8,M,,,,,,110.8,231.7,M,,,,
36.4,34.9,L,,,,,,51.9,313.9,L,,,,,,110.8,293,L,,,,
36.4,39.5,L,,,,,,51.9,365.8,M,,,,,,110.8,322.4,L,,,,
36.4,44.2,M,,,,,,52.7,96.9,L,,,,,,112.4,37.2,L,,,,
36.4,67.4,L,,,,,,52.7,104.6,L,,,,,,112.4,242.6,L,,,,
36.4,77.5,L,,,,,,52.7,141.8,L,,,,,,113.2,25.6,L,,,,
36.4,100,M,,,,,,52.7,151.1,M,,,,,,113.2,137.2,NC,,,,
36.7,49.7,L,,,,,,52.7,200,M,,,,,,113.2,208.5,S,,,,
36.7,59.5,L,,,,,,52.7,337.1,M,,,,,,113.2,268.2,M,,,,
37.2,8.5,M,,,,,,52.7,381.3,M,,,,,,113.9,55,L,,,,
37.2,123.2,L,,,,,,53.5,45,L,,,,,,113.9,119.4,S,,,,
37.2,154.2,M,,,,,,53.5,76,L,,,,,,113.9,129.4,L,,,,
37.2,163.5,S,,,,,,53.5,161.2,M,,,,,,113.9,144.2,NC,,,,
37.2,203.1,L,,,,,,54.3,36.4,L,,,,,,113.9,282.9,L,,,,
38,95.3,M,,,,,,54.3,111.6,S,,,,,,113.9,332.5,M,,,,
38,177.5,M,,,,,,54.3,207.7,S,,,,,,114.7,151.9,M,,,,
38.8,17.1,L,,,,,,54.3,326.3,L,,,,,,115.5,95.3,L,,,,
38.8,104.6,L,,,,,,54.3,354.2,L,,,,,,115.5,164.3,L,,,,
38.8,113.2,L,,,,,,55,9.3,L,,,,,,117,12.4,L,,,,
38.8,118.6,M,,,,,,55,170.5,M,,,,,,117,82.2,S,,,,
38.8,170.5,L,,,,,,55,236.4,L,,,,,,117,219.3,L,,,,
38.8,190.7,L,,,,,,55,272.8,M,,,,,,117.8,64.3,L,,,,
38.8,196.1,M,,,,,,55,346.5,L,,,,,,117.8,109.3,L,,,,
38.8,212.4,L,,,,,,55.5,127.1,L,,,,,,117.8,308.5,L,,,,
38.8,244.9,L,,,,,,55.8,28.7,L,,,,,,118.6,185.2,L,,,,
39.5,13.2,L,,,,,,55.8,119.4,M,,,,,,119.2,256.3,NC,,,,
39.5,62.8,L,,,,,,55.8,127.1,L,,,,,,119.4,42.6,L,,,,
39.5,72.9,M,,,,,,55.8,225.5,M,,,,,,119.4,173.6,L,,,,
39.5,86.8,L,,,,,,55.8,242.6,L,,,,,,119.4,229.4,L,,,,
39.5,131.8,M,,,,,,55.8,282.9,M,,,,,,119.4,296.1,M,,,,
39.5,135.6,M,,,,,,55.8,303,L,,,,,,120.1,198.4,L,,,,
39.5,226.3,L,,,,,,56.6,20.2,S,,,,,,120.3,343.5,NC,,,,
39.5,236.4,L,,,,,,56.6,50.4,L,,,,,,120.9,75.2,M,,,,
39.8,144.5,L,,,,,,56.6,69,S,,,,,,120.9,130.2,L,,,,
40.3,38,L,,,,,,56.6,84.5,L,,,,,,120.9,280.6,S,,,,
40.3,42.6,L,,,,,,56.6,361.2,L,,,,,,121.7,317,L,,,,
40.3,48.1,L,,,,,,57.4,61.2,L,,,,,,121.7,328.6,L,,,,
40.3,53.5,S,,,,,,57.4,180.6,L,,,,,,122.5,238.7,L,,,,
40.3,58.1,M,,,,,,57.4,214.7,L,,,,,,122.5,267.4,L,,,,
40.3,82.2,L,,,,,,57.4,264.3,L,,,,,,123.2,88.4,L,,,,
40.3,139.5,L,,,,,,57.4,292.2,L,,,,,,123.2,154.2,L,,,,
40.3,148.8,L,,,,,,57.4,371.3,M,,,,,,124,27.1,L,,,,
40.3,158.1,M,,,,,,58.1,92.2,M,,,,,,124,141.8,NC,,,,
40.3,219.3,M,,,,,,58.1,133.3,M,,,,,,124.4,53.4,L,,,,
40.3,231.7,L,,,,,,58.1,147.3,L,,,,,,124.8,210,L,,,,
41.1,25.6,S,,,,,,58.1,382.9,L,,,,,,125.6,118.6,L,,,,
41.1,34.1,L,,,,,,58.9,141.1,L,,,,,,126.3,337.9,M,,,,
41.1,91.5,L,,,,,,58.9,189.9,L,,,,,,127.1,289.9,M,,,,
41.1,100,M,,,,,,58.9,317.8,M,,,,,,127.9,10.9,NC,,,,
41.1,127.1,L,,,,,,59.7,38.8,M,,,,,,127.9,99.2,L,,,,
41.1,182.9,L,,,,,,59.7,101.5,M,,,,,,127.9,179,S,,,,
41.1,204.6,L,,,,,,59.7,196.9,M,,,,,,127.9,244.9,L,,,,
41.6,122.1,M,,,,,,59.7,251.1,L,,,,,,128.7,75.2,L,,,,
41.9,6.2,L,,,,,,60.5,116.3,L,,,,,,128.7,112.4,L,,,,
41.9,20.2,L,,,,,,60.5,158.1,L,,,,,,128.7,165.9,L,,,,
41.9,67.4,L,,,,,,60.5,175.2,M,,,,,,128.7,187.6,M,,,,
41.9,77.5,M,,,,,,60.5,204.6,M,,,,,,128.7,258.9,L,,,,
41.9,199.2,L,,,,,,61.2,14.7,L,,,,,,129.4,65.9,L,,,,
42.6,161.2,M,,,,,,61.2,73.6,L,,,,,,129.4,301.5,L,,,,
42.6,172.8,L,,,,,,61.2,164.3,L,,,,,,129.4,312.3,M,,,,
42.6,209.3,L,,,,,,61.2,221.7,L,,,,,,129.8,145.8,NC,,,,
42.6,243.4,L,,,,,,61.2,272,S,,,,,,130.2,32.6,L,,,,
43.4,10.1,M,,,,,,61.2,309.2,L,,,,,,130.2,58.1,M,,,,
43.4,62,S,,,,,,62,7,M,,,,,,130.2,225.5,M,,,,
43.4,72.1,L,,,,,,62,25.6,L,,,,,,130.2,274.4,L,,,,
43.4,86,L,,,,,,62,299.9,L,,,,,,131,131.8,L,,,,
43.4,116.3,M,,,,,,62,323.2,M,,,,,,131,265.8,S,,,,
43.4,224.8,L,,,,,,62,341.8,L,,,,,,131.8,21.7,L,,,,
44.2,14.7,M,,,,,,62,389.9,L,,,,,,132.5,203.1,L,,,,
44.2,40.3,L,,,,,,62.8,48.1,L,,,,,,133.1,45.8,M,,,,
44.2,95.3,M,,,,,,62.8,56.6,L,,,,,,134.1,195.3,M,,,,
44.2,106.2,L,,,,,,62.8,80.6,L,,,,,,134.1,289.1,M,,,,
44.2,130.2,M,,,,,,62.8,107.7,M,,,,,,134.1,321.6,L,,,,
44.2,179.8,S,,,,,,62.8,241.8,M,,,,,,134.2,214.6,L,,,,
44.2,190.7,L,,,,,,62.8,280.6,L,,,,,,134.9,178.3,L,,,,
44.2,229.4,L,,,,,,62.8,352.7,L,,,,,,135.6,68.2,L,,,,
45,23.3,L,,,,,,63.6,33.3,L,,,,,,135.6,119.4,L,,,,
45,35.7,L,,,,,,63.6,124,L,,,,,,135.6,231,L,,,,
45,45,L,,,,,,63.6,213.1,L,,,,,,136.4,80.6,S,,,,
45,51.2,M,,,,,,63.6,231,M,,,,,,136.4,93,M,,,,
45,80.6,L,,,,,,63.6,257.3,M,,,,,,136.4,162,M,,,,
45,110.1,L,,,,,,63.6,334,L,,,,,,136.4,251.1,M,,,,
45,136.4,L,,,,,,63.6,372,L,,,,,,136.4,299.2,S,,,,
45,141.8,M,,,,,,64.3,63.6,M,,,,,,136.4,344.1,L,,,,
45,148,L,,,,,,64.3,290.6,L,,,,,,138,187.6,M,,,,
45,156.6,L,,,,,,65.1,89.9,S,,,,,,138,222.4,S,,,,
45,167.4,L,,,,,,65.1,96.9,M,,,,,,138,330.2,M,,,,
45,195.3,L,,,,,,65.1,138.7,L,,,,,,138.7,149.6,L,,,,
45.7,29.5,M,,,,,,65.1,182.9,L,,,,,,139.5,35.7,L,,,,
45.7,66.7,L,,,,,,65.9,129.4,L,,,,,,139.5,107,L,,,,
45.7,126.3,L,,,,,,65.9,151.1,L,,,,,,139.5,238.7,M,,,,
45.7,185.2,L,,,,,,65.9,191.4,M,,,,,,139.5,264.3,L,,,,
45.7,213.9,S,,,,,,65.9,381.3,L,,,,,,139.5,309.2,L,,,,
45.7,218.6,L,,,,,,66.5,167.5,L,,,,,,140,135.3,L,,,,
45.7,237.9,M,,,,,,66.7,42.6,L,,,,,,140.3,19.4,L,,,,
46.5,90.7,L,,,,,,66.7,247.2,L,,,,,,140.3,277.5,M,,,,
46.5,100.8,S,,,,,,66.7,312.3,L,,,,,,141.1,58.9,L,,,,
46.5,119.4,L,,,,,,66.7,363.5,M,,,,,,141.1,201.5,L,,,,
46.5,152.7,M,,,,,,67.4,72.1,L,,,,,,142.6,42.6,L,,,,
46.5,206.9,L,,,,,,67.4,176.7,L,,,,,,143.4,168.2,L,,,,
47.3,18.6,L,,,,,,67.4,197.6,L,,,,,,143.4,289.9,L,,,,
47.3,76.7,L,,,,,,67.4,224,S,,,,,,144.2,8.5,L,,,,
47.3,169.7,L,,,,,,67.4,301.5,L,,,,,,144.9,71.3,M,,,,
47.3,243.4,L,,,,,,68.2,13.2,L,,,,,,144.9,82.2,M,,,,
48.1,5.4,L,,,,,,68.2,19.4,L,,,,,,144.9,120.1,L,,,,
48.1,53.5,L,,,,,,68.2,107,M,,,,,,144.9,154.2,L,,,,
48.1,85.3,L,,,,,,68.2,117,L,,,,,,144.9,221.7,L,,,,
48.1,161.2,L,,,,,,68.2,265.1,L,,,,,,145.7,177.5,L,,,,
48.1,200.7,L,,,,,,68.2,272.8,M,,,,,,145.7,190.7,L,,,,
48.3,58.7,M,,,,,,69,51.9,L,,,,,,145.7,256.5,L,,,,
48.8,9.3,L,,,,,,69,80.6,L,,,,,,145.7,318.5,M,,,,
48.8,14.7,L,,,,,,69,206.9,L,,,,,,145.7,332.5,NC,,,,
48.8,39.5,L,,,,,,69,237.2,L,,,,,,146.5,95.3,M,,,,
48.8,113.9,L,,,,,,69,342.6,L,,,,,,146.5,210,L,,,,
48.8,132.5,S,,,,,,69,356,M,,,,,,146.5,229.4,L,,,,
48.8,144.9,M,,,,,,69.8,4.7,L,,,,,,146.6,300.1,M,,,,
48.8,174.4,L,,,,,,69.8,134.9,L,,,,,,147.3,104.6,L,,,,
48.8,224,M,,,,,,69.8,143.4,L,,,,,,147.3,134.9,NC,,,,
49.1,95.6,L,,,,,,69.8,282.1,L,,,,,,147.3,145.7,NC,,,,
49.6,48.1,L,,,,,,69.8,319.3,M,,,,,,147.3,344.1,L,,,,
49.6,62.8,L,,,,,,70.5,65.9,L,,,,,,148,244.1,L,,,,
49.6,103.9,M,,,,,,70.5,124.8,L,,,,,,149.6,20.9,L,,,,
49.6,123.2,L,,,,,,70.5,373.6,L,,,,,,149.6,50.4,L,,,,
49.6,138.7,L,,,,,,71.3,31.8,L,,,,,,149.8,34.9,NC,,,,
49.6,193.8,L,,,,,,71.3,167.4,L,,,,,,151.1,271.3,L,,,,
49.6,212.4,L,,,,,,71.3,216.2,M,,,,,,151.1,283.7,L,,,,
49.6,232.5,L,,,,,,71.3,257.3,L,,,,,,151.9,65.1,L,,,,
50.4,22.5,M,,,,,,71.3,292.2,L,,,,,,151.9,124,L,,,,
